,bid,size
2018-10-01 22:00:01.457000+00:00,26677.0,10.0
2018-10-01 22:00:03.917000+00:00,26675.0,10.0
2018-10-01 22:00:04.618000+00:00,26673.0,31.0
2018-10-01 22:00:04.970000+00:00,26676.0,10.0
2018-10-01 22:00:08.131000+00:00,26677.0,10.0
2018-10-01 22:00:10.237000+00:00,26678.0,31.0
2018-10-01 22:00:14.096000+00:00,26681.0,31.0
2018-10-01 22:00:14.447000+00:00,26678.0,31.0
2018-10-01 22:00:20.059000+00:00,26679.0,31.0
2018-10-01 22:00:21.112000+00:00,26680.0,31.0
2018-10-01 22:00:24.619000+00:00,26681.0,31.0
2018-10-01 22:00:27.774000+00:00,26680.0,31.0
2018-10-01 22:00:28.125000+00:00,26681.0,31.0
2018-10-01 22:00:38.994000+00:00,26679.0,10.0
2018-10-01 22:00:40.399000+00:00,26680.0,10.0
2018-10-01 22:00:40.749000+00:00,26679.0,10.0
2018-10-01 22:00:44.957000+00:00,26680.0,31.0
2018-10-01 22:00:46.358000+00:00,26679.0,31.0
2018-10-01 22:00:48.110000+00:00,26680.0,31.0
2018-10-01 22:00:53.020000+00:00,26678.0,10.0
2018-10-01 22:00:56.174000+00:00,26676.0,41.0
2018-10-01 22:00:56.526000+00:00,26677.0,10.0
2018-10-01 22:00:59.330000+00:00,26676.0,10.0
2018-10-01 22:01:00.385000+00:00,26675.0,10.0
2018-10-01 22:01:01.084000+00:00,26676.0,10.0
2018-10-01 22:01:01.786000+00:00,26677.0,10.0
2018-10-01 22:01:09.503000+00:00,26678.0,10.0
2018-10-01 22:01:20.368000+00:00,26677.0,10.0
2018-10-01 22:01:31.931000+00:00,26678.0,10.0
2018-10-01 22:01:32.281000+00:00,26679.0,10.0
2018-10-01 22:01:41.741000+00:00,26680.0,10.0
2018-10-01 22:01:42.092000+00:00,26681.0,10.0
2018-10-01 22:01:55.055000+00:00,26682.0,31.0
2018-10-01 22:01:56.807000+00:00,26684.0,31.0
2018-10-01 22:01:57.858000+00:00,26686.0,15.0
2018-10-01 22:02:00.665000+00:00,26687.0,15.0
2018-10-01 22:02:01.014000+00:00,26686.0,15.0
2018-10-01 22:02:01.365000+00:00,26687.0,15.0
2018-10-01 22:02:06.271000+00:00,26690.0,15.0
2018-10-01 22:02:08.023000+00:00,26686.0,20.0
2018-10-01 22:02:09.425000+00:00,26689.0,15.0
2018-10-01 22:02:13.280000+00:00,26686.0,20.0
2018-10-01 22:02:14.330000+00:00,26687.0,15.0
2018-10-01 22:02:17.134000+00:00,26686.0,15.0
2018-10-01 22:02:24.844000+00:00,26687.0,15.0
2018-10-01 22:02:25.544000+00:00,26686.0,15.0
2018-10-01 22:02:30.452000+00:00,26687.0,15.0
2018-10-01 22:02:32.203000+00:00,26685.0,15.0
2018-10-01 22:02:32.555000+00:00,26686.0,15.0
2018-10-01 22:02:40.260000+00:00,26685.0,15.0
2018-10-01 22:02:48.669000+00:00,26687.0,15.0
2018-10-01 22:03:00.936000+00:00,26686.0,30.0
2018-10-01 22:03:06.195000+00:00,26687.0,15.0
2018-10-01 22:03:19.863000+00:00,26688.0,15.0
2018-10-01 22:03:35.982000+00:00,26687.0,15.0
2018-10-01 22:03:43.338000+00:00,26688.0,15.0
2018-10-01 22:03:54.203000+00:00,26687.0,15.0
2018-10-01 22:03:55.254000+00:00,26688.0,15.0
2018-10-01 22:04:19.177000+00:00,26687.0,15.0
2018-10-01 22:04:44.476000+00:00,26686.0,31.0
2018-10-01 22:04:46.229000+00:00,26687.0,15.0
2018-10-01 22:04:51.836000+00:00,26686.0,31.0
2018-10-01 22:04:57.441000+00:00,26687.0,15.0
2018-10-01 22:04:58.144000+00:00,26688.0,5.0
2018-10-01 22:04:59.545000+00:00,26686.0,30.0
2018-10-01 22:05:01.300000+00:00,26687.0,10.0
2018-10-01 22:05:23.030000+00:00,26685.0,5.0
2018-10-01 22:05:26.182000+00:00,26684.0,5.0
2018-10-01 22:05:26.533000+00:00,26685.0,10.0
2018-10-01 22:05:47.205000+00:00,26686.0,5.0
2018-10-01 22:05:47.555000+00:00,26685.0,5.0
2018-10-01 22:05:54.212000+00:00,26684.0,10.0
2018-10-01 22:06:13.141000+00:00,26683.0,10.0
2018-10-01 22:06:31.715000+00:00,26684.0,15.0
2018-10-01 22:06:32.767000+00:00,26683.0,15.0
2018-10-01 22:06:33.117000+00:00,26684.0,15.0
2018-10-01 22:07:09.258000+00:00,26686.0,15.0
2018-10-01 22:07:13.461000+00:00,26685.0,15.0
2018-10-01 22:07:22.573000+00:00,26686.0,15.0
2018-10-01 22:08:37.712000+00:00,26685.0,15.0
2018-10-01 22:08:41.565000+00:00,26686.0,15.0
2018-10-01 22:08:49.024000+00:00,26688.0,15.0
2018-10-01 22:08:50.074000+00:00,26689.0,15.0
2018-10-01 22:08:53.228000+00:00,26688.0,15.0
2018-10-01 22:09:03.386000+00:00,26686.0,20.0
2018-10-01 22:09:10.742000+00:00,26688.0,15.0
2018-10-01 22:09:13.545000+00:00,26689.0,15.0
2018-10-01 22:09:19.854000+00:00,26690.0,15.0
2018-10-01 22:09:21.256000+00:00,26688.0,15.0
2018-10-01 22:09:21.956000+00:00,26690.0,10.0
2018-10-01 22:09:29.312000+00:00,26691.0,10.0
2018-10-01 22:09:30.016000+00:00,26689.0,5.0
2018-10-01 22:09:32.466000+00:00,26690.0,5.0
2018-10-01 22:09:35.970000+00:00,26689.0,5.0
2018-10-01 22:09:42.278000+00:00,26690.0,10.0
2018-10-01 22:09:49.644000+00:00,26691.0,15.0
2018-10-01 22:09:51.394000+00:00,26690.0,15.0
2018-10-01 22:09:53.497000+00:00,26688.0,10.0
2018-10-01 22:09:58.796000+00:00,26687.0,10.0
2018-10-01 22:10:33.138000+00:00,26686.0,5.0
2018-10-01 22:10:34.539000+00:00,26685.0,10.0
2018-10-01 22:10:38.399000+00:00,26683.0,10.0
2018-10-01 22:10:58.719000+00:00,26684.0,15.0
2018-10-01 22:10:59.769000+00:00,26683.0,20.0
2018-10-01 22:11:17.861000+00:00,26682.0,20.0
2018-10-01 22:11:19.263000+00:00,26684.0,15.0
2018-10-01 22:11:20.665000+00:00,26683.0,15.0
2018-10-01 22:11:24.516000+00:00,26682.0,20.0
2018-10-01 22:11:45.638000+00:00,26684.0,5.0
2018-10-01 22:11:48.093000+00:00,26681.0,10.0
2018-10-01 22:11:49.143000+00:00,26682.0,5.0
2018-10-01 22:12:16.267000+00:00,26681.0,10.0
2018-10-01 22:12:25.030000+00:00,26679.0,30.0
2018-10-01 22:12:25.380000+00:00,26680.0,10.0
2018-10-01 22:12:52.539000+00:00,26678.0,20.0
2018-10-01 22:13:14.257000+00:00,26679.0,5.0
2018-10-01 22:13:19.161000+00:00,26676.0,10.0
2018-10-01 22:13:22.663000+00:00,26674.0,35.0
2018-10-01 22:13:23.013000+00:00,26675.0,10.0
2018-10-01 22:13:24.282000+00:00,26676.0,15.0
2018-10-01 22:13:30.939000+00:00,26677.0,15.0
2018-10-01 22:13:41.950000+00:00,26676.0,15.0
2018-10-01 22:13:52.925000+00:00,26677.0,15.0
2018-10-01 22:13:53.975000+00:00,26676.0,30.0
2018-10-01 22:13:54.677000+00:00,26679.0,15.0
2018-10-01 22:13:56.078000+00:00,26680.0,15.0
2018-10-01 22:13:56.427000+00:00,26681.0,15.0
2018-10-01 22:14:12.045000+00:00,26682.0,15.0
2018-10-01 22:14:13.796000+00:00,26681.0,15.0
2018-10-01 22:14:19.052000+00:00,26682.0,15.0
2018-10-01 22:14:25.482000+00:00,26681.0,15.0
2018-10-01 22:14:35.040000+00:00,26680.0,15.0
2018-10-01 22:15:13.514000+00:00,26681.0,15.0
2018-10-01 22:15:18.067000+00:00,26680.0,15.0
2018-10-01 22:15:18.767000+00:00,26681.0,15.0
2018-10-01 22:15:45.409000+00:00,26682.0,15.0
2018-10-01 22:15:55.217000+00:00,26683.0,10.0
2018-10-01 22:16:16.987000+00:00,26682.0,10.0
2018-10-01 22:16:27.811000+00:00,26683.0,10.0
2018-10-01 22:17:37.117000+00:00,26684.0,10.0
2018-10-01 22:17:55.839000+00:00,26683.0,10.0
2018-10-01 22:18:37.799000+00:00,26682.0,10.0
2018-10-01 22:20:34.571000+00:00,26681.0,10.0
2018-10-01 22:20:35.972000+00:00,26682.0,5.0
2018-10-01 22:20:47.536000+00:00,26681.0,10.0
2018-10-01 22:21:01.904000+00:00,26682.0,15.0
2018-10-01 22:21:14.172000+00:00,26681.0,15.0
2018-10-01 22:21:45.095000+00:00,26682.0,15.0
2018-10-01 22:23:29.115000+00:00,26683.0,15.0
2018-10-01 22:26:45.067000+00:00,26684.0,15.0
2018-10-01 22:26:52.422000+00:00,26683.0,15.0
2018-10-01 22:27:00.834000+00:00,26684.0,15.0
2018-10-01 22:27:04.337000+00:00,26682.0,20.0
2018-10-01 22:27:04.688000+00:00,26681.0,15.0
2018-10-01 22:27:25.678000+00:00,26682.0,15.0
2018-10-01 22:27:34.484000+00:00,26681.0,15.0
2018-10-01 22:28:31.065000+00:00,26682.0,25.0
2018-10-01 22:28:33.166000+00:00,26683.0,10.0
2018-10-01 22:28:41.327000+00:00,26682.0,10.0
2018-10-01 22:28:59.301000+00:00,26681.0,20.0
2018-10-01 22:29:25.436000+00:00,26682.0,15.0
2018-10-01 22:29:53.764000+00:00,26683.0,10.0
2018-10-01 22:30:10.626000+00:00,26684.0,15.0
2018-10-01 22:31:18.512000+00:00,26686.0,15.0
2018-10-01 22:31:45.228000+00:00,26687.0,15.0
2018-10-01 22:31:45.578000+00:00,26688.0,15.0
2018-10-01 22:32:13.688000+00:00,26690.0,15.0
2018-10-01 22:32:17.191000+00:00,26688.0,20.0
2018-10-01 22:32:31.794000+00:00,26685.0,10.0
2018-10-01 22:32:34.247000+00:00,26686.0,5.0
2018-10-01 22:32:35.298000+00:00,26687.0,5.0
2018-10-01 22:32:37.753000+00:00,26688.0,5.0
2018-10-01 22:32:44.406000+00:00,26689.0,10.0
2018-10-01 22:32:47.911000+00:00,26690.0,10.0
2018-10-01 22:32:48.260000+00:00,26691.0,10.0
2018-10-01 22:32:49.663000+00:00,26689.0,15.0
