timestamp,quote
2019-01-01 23:15:00.761,151.5127
2019-01-01 23:15:00.953,151.4615
2019-01-01 23:15:01.040,151.4528
2019-01-01 23:15:02.066,151.4441
2019-01-01 23:15:03.089,151.5051
2019-01-01 23:15:04.105,151.5138
2019-01-01 23:15:05.120,151.5225
2019-01-01 23:15:06.141,151.4528
2019-01-01 23:15:07.156,151.4441
2019-01-01 23:15:08.172,151.4528
2019-01-01 23:15:11.233,151.4354
2019-01-01 23:15:14.284,151.4441
2019-01-01 23:15:15.299,151.4354
2019-01-01 23:15:22.400,151.4005
2019-01-01 23:15:26.459,151.3918
2019-01-01 23:15:32.550,151.4005
2019-01-01 23:15:38.634,151.3918
2019-01-01 23:15:40.660,151.3482
2019-01-01 23:15:41.675,151.3308
2019-01-01 23:15:42.688,151.3395
2019-01-01 23:15:43.702,151.3308
2019-01-01 23:15:44.717,151.3482
2019-01-01 23:15:46.746,151.3744
2019-01-01 23:15:47.761,151.3395
2019-01-01 23:15:48.776,151.3482
2019-01-01 23:15:49.791,151.3395
2019-01-01 23:15:50.805,151.3482
2019-01-01 23:15:51.818,151.3308
2019-01-01 23:15:53.847,151.3395
2019-01-01 23:15:56.891,151.3308
2019-01-01 23:15:59.934,151.3482
2019-01-01 23:16:00.015,151.3308
2019-01-01 23:16:01.032,151.3395
2019-01-01 23:16:02.059,151.3482
2019-01-01 23:16:04.098,151.3395
2019-01-01 23:16:07.146,151.3308
2019-01-01 23:16:09.176,151.3569
2019-01-01 23:16:10.204,151.3482
2019-01-01 23:16:11.228,151.3395
2019-01-01 23:16:16.319,151.3482
2019-01-01 23:16:17.334,151.3308
2019-01-01 23:16:22.406,151.3221
2019-01-01 23:16:23.421,151.3395
2019-01-01 23:16:25.449,151.3221
2019-01-01 23:16:26.464,151.3569
2019-01-01 23:16:28.493,151.3482
2019-01-01 23:16:29.508,151.3569
2019-01-01 23:16:30.523,151.3395
2019-01-01 23:16:33.565,151.3482
2019-01-01 23:16:34.578,151.3308
2019-01-01 23:16:36.606,151.3482
2019-01-01 23:16:37.620,151.3221
2019-01-01 23:16:38.635,151.3569
2019-01-01 23:16:39.651,151.3308
2019-01-01 23:16:40.666,151.3395
2019-01-01 23:16:41.680,151.3308
2019-01-01 23:16:45.740,151.3482
2019-01-01 23:16:46.756,151.3308
2019-01-01 23:16:47.771,151.3569
2019-01-01 23:16:48.785,151.3482
2019-01-01 23:16:50.814,151.3569
2019-01-01 23:16:51.828,151.3308
2019-01-01 23:16:52.843,151.3569
2019-01-01 23:16:54.874,151.3308
2019-01-01 23:16:56.904,151.3482
2019-01-01 23:16:57.918,151.3569
2019-01-01 23:16:58.934,151.3482
2019-01-01 23:16:59.949,151.3569
2019-01-01 23:17:01.035,151.3134
2019-01-01 23:17:03.084,151.3046
2019-01-01 23:17:10.196,151.3134
2019-01-01 23:17:12.233,151.3046
2019-01-01 23:17:15.283,151.2959
2019-01-01 23:17:18.332,151.2872
2019-01-01 23:17:22.392,151.3046
2019-01-01 23:17:23.406,151.2959
2019-01-01 23:17:26.451,151.2698
2019-01-01 23:17:27.466,151.3134
2019-01-01 23:17:28.481,151.2698
2019-01-01 23:17:29.496,151.3134
2019-01-01 23:17:30.511,151.3221
2019-01-01 23:17:31.526,151.3134
2019-01-01 23:17:32.542,151.2785
2019-01-01 23:17:33.556,151.2959
2019-01-01 23:17:34.570,151.3221
2019-01-01 23:17:36.606,151.3656
2019-01-01 23:17:41.678,151.3482
2019-01-01 23:17:43.707,151.3744
2019-01-01 23:17:44.723,151.3831
2019-01-01 23:17:46.753,151.3744
2019-01-01 23:17:49.800,151.3482
2019-01-01 23:17:50.815,151.4266
2019-01-01 23:17:52.846,151.4179
2019-01-01 23:17:54.875,151.4876
2019-01-01 23:17:55.890,151.4528
2019-01-01 23:17:57.921,151.4964
2019-01-01 23:17:58.936,151.4876
2019-01-01 23:17:59.951,151.4964
2019-01-01 23:18:02.061,151.5312
2019-01-01 23:18:03.083,151.5225
2019-01-01 23:18:04.098,151.5835
2019-01-01 23:18:05.112,151.5487
2019-01-01 23:18:06.128,151.5835
2019-01-01 23:18:07.144,151.5748
2019-01-01 23:18:08.161,151.5661
2019-01-01 23:18:09.178,151.5835
2019-01-01 23:18:10.195,151.5661
2019-01-01 23:18:11.215,151.5835
2019-01-01 23:18:12.240,151.5748
2019-01-01 23:18:14.275,151.5661
2019-01-01 23:18:22.388,151.5748
2019-01-01 23:18:27.462,151.5399
2019-01-01 23:18:31.519,151.4702
2019-01-01 23:18:34.564,151.4528
2019-01-01 23:18:39.643,151.4789
2019-01-01 23:18:42.686,151.4266
2019-01-01 23:18:43.701,151.4179
2019-01-01 23:18:44.716,151.4266
2019-01-01 23:18:51.818,151.4179
2019-01-01 23:18:52.834,151.4266
2019-01-01 23:18:56.895,151.4092
2019-01-01 23:18:57.910,151.3744
2019-01-01 23:18:58.926,151.3308
2019-01-01 23:19:11.193,151.3134
2019-01-01 23:19:14.250,151.3308
2019-01-01 23:19:16.281,151.2959
2019-01-01 23:19:17.297,151.3569
2019-01-01 23:19:18.313,151.3656
2019-01-01 23:19:19.329,151.3221
2019-01-01 23:19:22.375,151.3308
2019-01-01 23:19:26.436,151.3831
2019-01-01 23:19:27.451,151.4092
2019-01-01 23:19:28.465,151.4179
2019-01-01 23:19:30.494,151.4789
2019-01-01 23:19:31.509,151.4876
2019-01-01 23:19:34.554,151.4964
2019-01-01 23:19:35.569,151.4789
2019-01-01 23:19:38.611,151.4964
2019-01-01 23:19:39.626,151.4876
2019-01-01 23:19:40.640,151.4789
2019-01-01 23:19:42.669,151.4876
2019-01-01 23:19:43.683,151.4789
2019-01-01 23:19:46.726,151.4615
2019-01-01 23:19:48.755,151.4179
2019-01-01 23:19:54.847,151.3744
2019-01-01 23:19:57.890,151.3831
2019-01-01 23:19:58.905,151.3918
2019-01-01 23:20:01.065,151.4179
2019-01-01 23:20:03.113,151.4789
2019-01-01 23:20:04.128,151.4876
2019-01-01 23:20:05.143,151.4702
2019-01-01 23:20:06.159,151.4266
2019-01-01 23:20:07.174,151.4615
2019-01-01 23:20:08.191,151.4354
2019-01-01 23:20:15.314,151.4441
2019-01-01 23:20:16.329,151.4354
2019-01-01 23:20:17.345,151.4441
2019-01-01 23:20:18.360,151.5225
2019-01-01 23:20:22.422,151.5138
2019-01-01 23:20:24.451,151.5225
2019-01-01 23:20:25.466,151.4789
2019-01-01 23:20:26.481,151.4964
2019-01-01 23:20:27.495,151.4876
2019-01-01 23:20:31.553,151.4615
2019-01-01 23:20:32.568,151.4702
2019-01-01 23:20:33.583,151.4964
2019-01-01 23:20:34.598,151.4876
2019-01-01 23:20:35.613,151.4615
2019-01-01 23:20:36.627,151.4964
2019-01-01 23:20:38.657,151.4876
2019-01-01 23:20:40.687,151.4615
2019-01-01 23:20:44.746,151.4876
2019-01-01 23:20:46.777,151.4528
2019-01-01 23:20:47.793,151.4702
2019-01-01 23:20:50.836,151.4876
2019-01-01 23:20:51.852,151.4702
