,ask,size
2018-10-01 22:00:01.457000+00:00,26692.0,10.0
2018-10-01 22:00:03.917000+00:00,26688.0,25.0
2018-10-01 22:00:04.268000+00:00,26687.0,10.0
2018-10-01 22:00:04.970000+00:00,26686.0,25.0
2018-10-01 22:00:08.131000+00:00,26687.0,25.0
2018-10-01 22:00:14.096000+00:00,26689.0,5.0
2018-10-01 22:00:20.059000+00:00,26688.0,5.0
2018-10-01 22:00:24.619000+00:00,26690.0,25.0
2018-10-01 22:00:26.372000+00:00,26688.0,25.0
2018-10-01 22:00:40.047000+00:00,26686.0,25.0
2018-10-01 22:00:40.749000+00:00,26685.0,25.0
2018-10-01 22:00:44.957000+00:00,26683.0,15.0
2018-10-01 22:00:45.308000+00:00,26684.0,15.0
2018-10-01 22:00:46.709000+00:00,26683.0,15.0
2018-10-01 22:00:48.110000+00:00,26685.0,15.0
2018-10-01 22:00:49.864000+00:00,26686.0,15.0
2018-10-01 22:00:52.317000+00:00,26685.0,15.0
2018-10-01 22:00:53.020000+00:00,26682.0,15.0
2018-10-01 22:00:56.174000+00:00,26681.0,15.0
2018-10-01 22:01:00.385000+00:00,26679.0,15.0
2018-10-01 22:01:01.084000+00:00,26680.0,15.0
2018-10-01 22:01:01.786000+00:00,26681.0,15.0
2018-10-01 22:01:05.992000+00:00,26680.0,15.0
2018-10-01 22:01:09.152000+00:00,26681.0,15.0
2018-10-01 22:01:32.281000+00:00,26682.0,15.0
2018-10-01 22:01:40.690000+00:00,26683.0,15.0
2018-10-01 22:01:42.092000+00:00,26684.0,15.0
2018-10-01 22:01:48.398000+00:00,26685.0,15.0
2018-10-01 22:01:55.055000+00:00,26686.0,15.0
2018-10-01 22:01:56.807000+00:00,26689.0,15.0
2018-10-01 22:01:57.858000+00:00,26688.0,15.0
2018-10-01 22:01:58.209000+00:00,26689.0,15.0
2018-10-01 22:01:59.611000+00:00,26688.0,15.0
2018-10-01 22:02:00.665000+00:00,26689.0,15.0
2018-10-01 22:02:01.716000+00:00,26690.0,15.0
2018-10-01 22:02:02.416000+00:00,26691.0,15.0
2018-10-01 22:02:06.271000+00:00,26692.0,15.0
2018-10-01 22:02:08.023000+00:00,26690.0,15.0
2018-10-01 22:02:08.373000+00:00,26691.0,15.0
2018-10-01 22:02:10.125000+00:00,26692.0,15.0
2018-10-01 22:02:11.176000+00:00,26691.0,15.0
2018-10-01 22:02:12.578000+00:00,26692.0,15.0
2018-10-01 22:02:13.280000+00:00,26690.0,15.0
2018-10-01 22:02:17.134000+00:00,26689.0,15.0
2018-10-01 22:02:17.485000+00:00,26688.0,15.0
2018-10-01 22:02:19.939000+00:00,26689.0,15.0
2018-10-01 22:02:30.452000+00:00,26690.0,15.0
2018-10-01 22:02:32.203000+00:00,26689.0,15.0
2018-10-01 22:02:40.260000+00:00,26688.0,15.0
2018-10-01 22:02:48.669000+00:00,26689.0,15.0
2018-10-01 22:02:53.926000+00:00,26690.0,15.0
2018-10-01 22:04:19.527000+00:00,26689.0,15.0
2018-10-01 22:04:25.832000+00:00,26690.0,15.0
2018-10-01 22:04:44.476000+00:00,26689.0,15.0
2018-10-01 22:04:45.879000+00:00,26688.0,15.0
2018-10-01 22:04:46.229000+00:00,26690.0,15.0
2018-10-01 22:04:46.931000+00:00,26689.0,15.0
2018-10-01 22:04:47.982000+00:00,26690.0,15.0
2018-10-01 22:04:51.836000+00:00,26689.0,15.0
2018-10-01 22:04:58.144000+00:00,26690.0,15.0
2018-10-01 22:04:59.545000+00:00,26688.0,15.0
2018-10-01 22:05:23.030000+00:00,26686.0,15.0
2018-10-01 22:05:26.182000+00:00,26687.0,15.0
2018-10-01 22:05:47.205000+00:00,26688.0,15.0
2018-10-01 22:05:47.555000+00:00,26686.0,15.0
2018-10-01 22:07:05.403000+00:00,26687.0,15.0
2018-10-01 22:07:09.258000+00:00,26688.0,15.0
