timestamp,ask_price,bid_price,spread
2018-10-01 00:00:01.196000+00:00,26599.0,26598.0,1.0
2018-10-01 00:00:01.548000+00:00,26600.0,26598.0,2.0
2018-10-01 00:00:04.356000+00:00,26601.0,26598.0,3.0
2018-10-01 00:00:05.761000+00:00,26601.0,26599.0,2.0
2018-10-01 00:00:07.514000+00:00,26600.0,26598.0,2.0
2018-10-01 00:00:07.866000+00:00,26599.0,26597.0,2.0
2018-10-01 00:00:08.218000+00:00,26598.0,26595.0,3.0
2018-10-01 00:00:08.919000+00:00,26598.0,26596.0,2.0
2018-10-01 00:00:10.321000+00:00,26599.0,26596.0,3.0
2018-10-01 00:00:11.724000+00:00,26598.0,26596.0,2.0
2018-10-01 00:00:12.076000+00:00,26597.0,26595.0,2.0
2018-10-01 00:00:14.180000+00:00,26596.0,26594.0,2.0
2018-10-01 00:00:14.884000+00:00,26598.0,26595.0,3.0
2018-10-01 00:00:15.936000+00:00,26597.0,26595.0,2.0
2018-10-01 00:00:16.287000+00:00,26598.0,26595.0,3.0
2018-10-01 00:00:17.340000+00:00,26597.0,26595.0,2.0
2018-10-01 00:00:17.689000+00:00,26598.0,26595.0,3.0
2018-10-01 00:00:18.742000+00:00,26597.0,26594.0,3.0
2018-10-01 00:00:20.147000+00:00,26596.0,26594.0,2.0
2018-10-01 00:00:20.499000+00:00,26597.0,26594.0,3.0
2018-10-01 00:00:20.849000+00:00,26597.0,26595.0,2.0
2018-10-01 00:00:22.603000+00:00,26597.0,26594.0,3.0
2018-10-01 00:00:24.006000+00:00,26597.0,26595.0,2.0
2018-10-01 00:00:25.758000+00:00,26598.0,26595.0,3.0
2018-10-01 00:00:28.563000+00:00,26598.0,26596.0,2.0
2018-10-01 00:00:29.617000+00:00,26597.0,26595.0,2.0
2018-10-01 00:00:33.824000+00:00,26597.0,26594.0,3.0
2018-10-01 00:00:48.906000+00:00,26597.0,26595.0,2.0
2018-10-01 00:00:51.010000+00:00,26598.0,26595.0,3.0
2018-10-01 00:01:00.835000+00:00,26597.0,26595.0,2.0
2018-10-01 00:01:07.147000+00:00,26598.0,26595.0,3.0
2018-10-01 00:01:09.600000+00:00,26598.0,26596.0,2.0
2018-10-01 00:01:12.055000+00:00,26599.0,26596.0,3.0
2018-10-01 00:01:12.757000+00:00,26598.0,26596.0,2.0
2018-10-01 00:01:20.121000+00:00,26599.0,26596.0,3.0
2018-10-01 00:01:20.472000+00:00,26599.0,26597.0,2.0
2018-10-01 00:01:21.523000+00:00,26600.0,26597.0,3.0
2018-10-01 00:01:30.290000+00:00,26600.0,26598.0,2.0
2018-10-01 00:01:30.991000+00:00,26600.0,26597.0,3.0
2018-10-01 00:01:38.356000+00:00,26601.0,26598.0,3.0
2018-10-01 00:01:39.058000+00:00,26600.0,26597.0,3.0
2018-10-01 00:01:43.966000+00:00,26599.0,26597.0,2.0
2018-10-01 00:01:54.481000+00:00,26600.0,26597.0,3.0
2018-10-01 00:01:58.338000+00:00,26599.0,26597.0,2.0
2018-10-01 00:02:00.442000+00:00,26600.0,26597.0,3.0
2018-10-01 00:02:03.600000+00:00,26599.0,26597.0,2.0
2018-10-01 00:02:05.354000+00:00,26599.0,26596.0,3.0
2018-10-01 00:02:07.112000+00:00,26597.0,26594.0,3.0
2018-10-01 00:02:10.618000+00:00,26597.0,26595.0,2.0
2018-10-01 00:02:10.968000+00:00,26597.0,26594.0,3.0
2018-10-01 00:02:11.670000+00:00,26598.0,26595.0,3.0
2018-10-01 00:02:13.773000+00:00,26597.0,26595.0,2.0
2018-10-01 00:02:15.176000+00:00,26597.0,26594.0,3.0
2018-10-01 00:02:21.485000+00:00,26596.0,26594.0,2.0
2018-10-01 00:02:25.694000+00:00,26597.0,26594.0,3.0
2018-10-01 00:02:28.146000+00:00,26597.0,26595.0,2.0
2018-10-01 00:02:29.898000+00:00,26598.0,26596.0,2.0
2018-10-01 00:02:30.249000+00:00,26598.0,26595.0,3.0
2018-10-01 00:02:32.352000+00:00,26598.0,26596.0,2.0
2018-10-01 00:02:32.703000+00:00,26599.0,26597.0,2.0
2018-10-01 00:02:34.455000+00:00,26600.0,26597.0,3.0
2018-10-01 00:02:35.157000+00:00,26600.0,26598.0,2.0
2018-10-01 00:02:41.467000+00:00,26599.0,26597.0,2.0
2018-10-01 00:02:42.520000+00:00,26600.0,26597.0,3.0
2018-10-01 00:02:46.374000+00:00,26599.0,26597.0,2.0
2018-10-01 00:02:47.427000+00:00,26600.0,26598.0,2.0
2018-10-01 00:02:49.880000+00:00,26599.0,26598.0,1.0
2018-10-01 00:02:50.932000+00:00,26600.0,26598.0,2.0
2018-10-01 00:02:51.633000+00:00,26601.0,26598.0,3.0
2018-10-01 00:02:52.685000+00:00,26600.0,26598.0,2.0
2018-10-01 00:02:56.891000+00:00,26599.0,26597.0,2.0
2018-10-01 00:02:57.242000+00:00,26600.0,26597.0,3.0
2018-10-01 00:02:59.345000+00:00,26599.0,26597.0,2.0
2018-10-01 00:03:01.100000+00:00,26598.0,26596.0,2.0
2018-10-01 00:03:01.450000+00:00,26599.0,26596.0,3.0
2018-10-01 00:03:02.855000+00:00,26598.0,26595.0,3.0
2018-10-01 00:03:07.765000+00:00,26597.0,26595.0,2.0
2018-10-01 00:03:14.776000+00:00,26594.0,26592.0,2.0
