,bid,size
2018-10-01 00:05:19.613000+00:00,26588.0,15.0
2018-10-01 00:05:20.316000+00:00,26587.0,31.0
2018-10-01 00:05:22.422000+00:00,26586.0,25.0
2018-10-01 00:05:22.772000+00:00,26585.0,31.0
2018-10-01 00:05:32.243000+00:00,26586.0,20.0
2018-10-01 00:05:35.052000+00:00,26587.0,15.0
2018-10-01 00:05:36.105000+00:00,26586.0,30.0
2018-10-01 00:05:40.665000+00:00,26585.0,30.0
2018-10-01 00:05:41.369000+00:00,26586.0,15.0
2018-10-01 00:05:42.421000+00:00,26587.0,15.0
2018-10-01 00:05:48.392000+00:00,26586.0,30.0
2018-10-01 00:05:49.444000+00:00,26587.0,15.0
2018-10-01 00:05:55.065000+00:00,26586.0,30.0
2018-10-01 00:05:56.116000+00:00,26587.0,30.0
2018-10-01 00:05:59.976000+00:00,26588.0,30.0
2018-10-01 00:06:16.128000+00:00,26587.0,30.0
2018-10-01 00:06:16.480000+00:00,26588.0,15.0
2018-10-01 00:06:28.417000+00:00,26589.0,15.0
2018-10-01 00:06:29.822000+00:00,26588.0,30.0
2018-10-01 00:06:34.383000+00:00,26589.0,15.0
2018-10-01 00:06:37.192000+00:00,26588.0,15.0
2018-10-01 00:06:38.949000+00:00,26589.0,15.0
2018-10-01 00:06:41.406000+00:00,26588.0,30.0
2018-10-01 00:07:16.846000+00:00,26589.0,15.0
2018-10-01 00:07:17.549000+00:00,26590.0,15.0
2018-10-01 00:07:18.602000+00:00,26591.0,15.0
2018-10-01 00:07:19.657000+00:00,26592.0,15.0
2018-10-01 00:07:20.358000+00:00,26591.0,31.0
2018-10-01 00:07:21.060000+00:00,26592.0,31.0
2018-10-01 00:07:24.219000+00:00,26593.0,25.0
2018-10-01 00:07:25.623000+00:00,26594.0,15.0
2018-10-01 00:07:26.327000+00:00,26593.0,25.0
2018-10-01 00:07:29.134000+00:00,26592.0,31.0
2018-10-01 00:07:29.836000+00:00,26593.0,15.0
2018-10-01 00:07:31.240000+00:00,26592.0,31.0
2018-10-01 00:07:32.994000+00:00,26593.0,15.0
2018-10-01 00:07:37.203000+00:00,26594.0,15.0
2018-10-01 00:07:38.606000+00:00,26593.0,31.0
2018-10-01 00:07:40.009000+00:00,26594.0,20.0
2018-10-01 00:07:40.710000+00:00,26593.0,31.0
2018-10-01 00:07:45.268000+00:00,26592.0,31.0
2018-10-01 00:07:51.232000+00:00,26593.0,25.0
2018-10-01 00:07:51.933000+00:00,26592.0,31.0
2018-10-01 00:07:55.088000+00:00,26593.0,15.0
2018-10-01 00:07:56.491000+00:00,26592.0,31.0
2018-10-01 00:07:57.546000+00:00,26593.0,31.0
2018-10-01 00:07:58.600000+00:00,26594.0,15.0
2018-10-01 00:08:00.355000+00:00,26595.0,15.0
2018-10-01 00:08:04.214000+00:00,26596.0,15.0
2018-10-01 00:08:04.915000+00:00,26595.0,30.0
2018-10-01 00:08:07.724000+00:00,26596.0,15.0
2018-10-01 00:08:10.180000+00:00,26595.0,15.0
2018-10-01 00:08:13.686000+00:00,26594.0,31.0
2018-10-01 00:08:19.651000+00:00,26595.0,15.0
2018-10-01 00:08:27.719000+00:00,26596.0,30.0
2018-10-01 00:08:33.682000+00:00,26595.0,31.0
2018-10-01 00:08:40.695000+00:00,26594.0,31.0
2018-10-01 00:08:55.068000+00:00,26595.0,15.0
2018-10-01 00:08:55.768000+00:00,26594.0,31.0
2018-10-01 00:08:56.119000+00:00,26595.0,15.0
2018-10-01 00:08:56.471000+00:00,26594.0,31.0
2018-10-01 00:09:04.539000+00:00,26595.0,25.0
2018-10-01 00:09:09.447000+00:00,26596.0,15.0
2018-10-01 00:09:09.797000+00:00,26595.0,30.0
2018-10-01 00:09:10.499000+00:00,26596.0,15.0
2018-10-01 00:09:11.201000+00:00,26595.0,30.0
2018-10-01 00:09:15.761000+00:00,26594.0,31.0
2018-10-01 00:09:16.464000+00:00,26595.0,15.0
2018-10-01 00:09:43.130000+00:00,26593.0,30.0
2018-10-01 00:09:58.201000+00:00,26594.0,30.0
2018-10-01 00:10:00.304000+00:00,26595.0,30.0
2018-10-01 00:10:04.517000+00:00,26596.0,20.0
2018-10-01 00:10:05.569000+00:00,26595.0,30.0
2018-10-01 00:10:06.270000+00:00,26596.0,15.0
2018-10-01 00:10:08.026000+00:00,26597.0,15.0
2018-10-01 00:10:15.741000+00:00,26598.0,15.0
2018-10-01 00:10:20.302000+00:00,26597.0,31.0
2018-10-01 00:10:23.812000+00:00,26598.0,15.0
2018-10-01 00:10:24.163000+00:00,26597.0,31.0
2018-10-01 00:10:43.108000+00:00,26598.0,15.0
2018-10-01 00:10:44.512000+00:00,26597.0,31.0
2018-10-01 00:10:48.368000+00:00,26598.0,15.0
2018-10-01 00:11:03.798000+00:00,26599.0,15.0
2018-10-01 00:11:06.608000+00:00,26600.0,15.0
2018-10-01 00:11:11.522000+00:00,26601.0,15.0
2018-10-01 00:11:12.924000+00:00,26600.0,31.0
2018-10-01 00:11:25.904000+00:00,26598.0,25.0
2018-10-01 00:11:28.710000+00:00,26597.0,25.0
2018-10-01 00:11:30.113000+00:00,26596.0,30.0
2018-10-01 00:11:30.814000+00:00,26597.0,15.0
2018-10-01 00:11:32.918000+00:00,26596.0,15.0
2018-10-01 00:11:35.722000+00:00,26597.0,15.0
2018-10-01 00:11:42.029000+00:00,26596.0,30.0
2018-10-01 00:11:49.037000+00:00,26597.0,15.0
2018-10-01 00:11:54.647000+00:00,26596.0,25.0
2018-10-01 00:12:00.253000+00:00,26597.0,15.0
2018-10-01 00:12:00.954000+00:00,26596.0,30.0
2018-10-01 00:12:07.613000+00:00,26598.0,15.0
2018-10-01 00:12:09.721000+00:00,26599.0,15.0
2018-10-01 00:12:11.476000+00:00,26600.0,15.0
2018-10-01 00:12:20.243000+00:00,26599.0,20.0
2018-10-01 00:12:20.594000+00:00,26598.0,30.0
2018-10-01 00:12:22+00:00,26597.0,31.0
2018-10-01 00:12:24.453000+00:00,26596.0,30.0
2018-10-01 00:12:46.188000+00:00,26597.0,30.0
2018-10-01 00:12:48.292000+00:00,26596.0,30.0
2018-10-01 00:12:52.852000+00:00,26595.0,31.0
2018-10-01 00:12:54.605000+00:00,26596.0,20.0
2018-10-01 00:12:57.762000+00:00,26597.0,15.0
2018-10-01 00:13:00.917000+00:00,26598.0,15.0
2018-10-01 00:13:04.430000+00:00,26599.0,15.0
2018-10-01 00:13:17.055000+00:00,26598.0,31.0
2018-10-01 00:13:21.264000+00:00,26599.0,15.0
2018-10-01 00:13:26.524000+00:00,26598.0,31.0
2018-10-01 00:13:28.279000+00:00,26600.0,15.0
2018-10-01 00:13:30.731000+00:00,26601.0,15.0
2018-10-01 00:13:31.082000+00:00,26600.0,31.0
2018-10-01 00:13:31.783000+00:00,26601.0,15.0
2018-10-01 00:13:34.591000+00:00,26600.0,31.0
2018-10-01 00:13:36.344000+00:00,26601.0,15.0
2018-10-01 00:13:36.696000+00:00,26600.0,31.0
2018-10-01 00:13:50.027000+00:00,26601.0,15.0
2018-10-01 00:13:50.378000+00:00,26600.0,25.0
2018-10-01 00:13:51.080000+00:00,26601.0,15.0
2018-10-01 00:13:53.532000+00:00,26600.0,30.0
2018-10-01 00:13:53.883000+00:00,26601.0,15.0
2018-10-01 00:13:55.637000+00:00,26600.0,30.0
2018-10-01 00:13:58.793000+00:00,26601.0,15.0
2018-10-01 00:14:03.001000+00:00,26602.0,15.0
2018-10-01 00:14:03.351000+00:00,26600.0,31.0
2018-10-01 00:14:13.874000+00:00,26601.0,15.0
2018-10-01 00:14:17.382000+00:00,26602.0,15.0
2018-10-01 00:14:18.788000+00:00,26601.0,31.0
2018-10-01 00:14:19.138000+00:00,26602.0,15.0
2018-10-01 00:14:27.553000+00:00,26603.0,15.0
2018-10-01 00:14:33.168000+00:00,26602.0,15.0
2018-10-01 00:14:34.925000+00:00,26603.0,15.0
2018-10-01 00:14:35.275000+00:00,26602.0,30.0
2018-10-01 00:14:44.396000+00:00,26603.0,15.0
2018-10-01 00:14:47.201000+00:00,26602.0,25.0
2018-10-01 00:14:47.555000+00:00,26601.0,25.0
2018-10-01 00:14:50.011000+00:00,26600.0,31.0
2018-10-01 00:15:01.240000+00:00,26601.0,31.0
2018-10-01 00:15:06.150000+00:00,26600.0,31.0
2018-10-01 00:15:14.567000+00:00,26601.0,15.0
2018-10-01 00:15:25.788000+00:00,26600.0,31.0
2018-10-01 00:15:36.304000+00:00,26598.0,31.0
2018-10-01 00:15:44.718000+00:00,26597.0,31.0
2018-10-01 00:15:47.170000+00:00,26598.0,15.0
2018-10-01 00:15:48.223000+00:00,26597.0,31.0
2018-10-01 00:15:51.733000+00:00,26598.0,15.0
2018-10-01 00:16:01.553000+00:00,26600.0,15.0
2018-10-01 00:16:11.370000+00:00,26599.0,31.0
2018-10-01 00:16:14.872000+00:00,26600.0,15.0
2018-10-01 00:16:16.625000+00:00,26599.0,31.0
2018-10-01 00:16:20.129000+00:00,26600.0,15.0
2018-10-01 00:16:21.531000+00:00,26599.0,31.0
2018-10-01 00:16:23.633000+00:00,26600.0,15.0
2018-10-01 00:16:27.845000+00:00,26601.0,15.0
2018-10-01 00:16:45.381000+00:00,26600.0,31.0
2018-10-01 00:16:55.899000+00:00,26599.0,31.0
2018-10-01 00:16:58.350000+00:00,26600.0,15.0
2018-10-01 00:17:03.258000+00:00,26601.0,15.0
2018-10-01 00:17:12.726000+00:00,26602.0,15.0
2018-10-01 00:17:13.427000+00:00,26601.0,15.0
2018-10-01 00:17:17.984000+00:00,26602.0,15.0
2018-10-01 00:17:19.035000+00:00,26601.0,31.0
2018-10-01 00:17:20.792000+00:00,26602.0,15.0
2018-10-01 00:17:29.203000+00:00,26601.0,31.0
2018-10-01 00:17:41.118000+00:00,26602.0,30.0
2018-10-01 00:17:41.468000+00:00,26603.0,15.0
2018-10-01 00:17:49.877000+00:00,26602.0,30.0
2018-10-01 00:17:51.629000+00:00,26601.0,31.0
2018-10-01 00:17:54.431000+00:00,26602.0,15.0
2018-10-01 00:18:06.001000+00:00,26600.0,25.0
2018-10-01 00:18:17.567000+00:00,26601.0,25.0
2018-10-01 00:18:19.319000+00:00,26600.0,31.0
2018-10-01 00:18:24.228000+00:00,26601.0,15.0
2018-10-01 00:18:24.580000+00:00,26600.0,30.0
2018-10-01 00:18:28.784000+00:00,26601.0,15.0
2018-10-01 00:18:29.835000+00:00,26600.0,31.0
2018-10-01 00:18:30.536000+00:00,26601.0,15.0
2018-10-01 00:18:31.587000+00:00,26600.0,31.0
2018-10-01 00:18:37.897000+00:00,26599.0,31.0
2018-10-01 00:18:46.309000+00:00,26600.0,15.0
2018-10-01 00:18:48.060000+00:00,26599.0,30.0
2018-10-01 00:18:51.615000+00:00,26600.0,20.0
2018-10-01 00:18:51.966000+00:00,26599.0,20.0
2018-10-01 00:18:56.872000+00:00,26598.0,20.0
2018-10-01 00:19:09.838000+00:00,26600.0,15.0
2018-10-01 00:19:24.218000+00:00,26599.0,20.0
2018-10-01 00:19:30.182000+00:00,26598.0,31.0
2018-10-01 00:19:32.985000+00:00,26599.0,15.0
2018-10-01 00:19:34.737000+00:00,26598.0,30.0
2018-10-01 00:19:43.146000+00:00,26599.0,15.0
2018-10-01 00:19:44.549000+00:00,26598.0,30.0
2018-10-01 00:19:54.715000+00:00,26599.0,15.0
2018-10-01 00:20:01.026000+00:00,26598.0,31.0
2018-10-01 00:20:04.536000+00:00,26599.0,15.0
2018-10-01 00:20:10.145000+00:00,26598.0,30.0
2018-10-01 00:20:12.248000+00:00,26597.0,30.0
2018-10-01 00:20:31.181000+00:00,26596.0,31.0
2018-10-01 00:20:35.385000+00:00,26597.0,15.0
2018-10-01 00:20:44.848000+00:00,26598.0,15.0
2018-10-01 00:20:53.958000+00:00,26599.0,15.0
2018-10-01 00:20:55.011000+00:00,26598.0,15.0
2018-10-01 00:20:55.710000+00:00,26597.0,31.0
2018-10-01 00:21:08.675000+00:00,26598.0,15.0
2018-10-01 00:21:16.036000+00:00,26599.0,15.0
2018-10-01 00:21:21.292000+00:00,26600.0,15.0
2018-10-01 00:21:21.642000+00:00,26599.0,20.0
2018-10-01 00:21:23.045000+00:00,26600.0,15.0
2018-10-01 00:21:25.849000+00:00,26599.0,25.0
2018-10-01 00:21:31.105000+00:00,26598.0,25.0
2018-10-01 00:21:40.917000+00:00,26599.0,15.0
2018-10-01 00:21:42.669000+00:00,26598.0,30.0
2018-10-01 00:21:47.227000+00:00,26599.0,15.0
2018-10-01 00:21:48.278000+00:00,26598.0,31.0
2018-10-01 00:21:48.979000+00:00,26599.0,31.0
2018-10-01 00:21:49.330000+00:00,26600.0,15.0
2018-10-01 00:21:58.793000+00:00,26599.0,25.0
2018-10-01 00:22:00.548000+00:00,26600.0,15.0
2018-10-01 00:22:36.299000+00:00,26601.0,25.0
2018-10-01 00:22:46.110000+00:00,26600.0,30.0
2018-10-01 00:22:47.512000+00:00,26601.0,20.0
2018-10-01 00:22:49.265000+00:00,26600.0,30.0
2018-10-01 00:22:50.315000+00:00,26601.0,20.0
2018-10-01 00:22:53.122000+00:00,26600.0,30.0
2018-10-01 00:22:55.925000+00:00,26601.0,20.0
2018-10-01 00:23:06.801000+00:00,26602.0,15.0
2018-10-01 00:23:15.916000+00:00,26601.0,25.0
2018-10-01 00:23:21.525000+00:00,26602.0,15.0
2018-10-01 00:23:25.379000+00:00,26601.0,30.0
2018-10-01 00:23:43.963000+00:00,26602.0,15.0
2018-10-01 00:23:46.769000+00:00,26601.0,31.0
2018-10-01 00:23:53.784000+00:00,26602.0,20.0
2018-10-01 00:23:56.943000+00:00,26601.0,31.0
2018-10-01 00:23:57.995000+00:00,26602.0,15.0
2018-10-01 00:23:59.397000+00:00,26601.0,31.0
2018-10-01 00:24:00.449000+00:00,26603.0,15.0
2018-10-01 00:24:00.800000+00:00,26602.0,15.0
2018-10-01 00:24:01.150000+00:00,26601.0,31.0
2018-10-01 00:24:09.214000+00:00,26602.0,30.0
2018-10-01 00:24:18.330000+00:00,26603.0,30.0
2018-10-01 00:24:31.651000+00:00,26604.0,15.0
2018-10-01 00:25:09.508000+00:00,26602.0,30.0
2018-10-01 00:25:09.861000+00:00,26601.0,31.0
2018-10-01 00:25:10.563000+00:00,26602.0,15.0
2018-10-01 00:25:12.315000+00:00,26603.0,15.0
2018-10-01 00:25:14.070000+00:00,26602.0,31.0
2018-10-01 00:25:14.773000+00:00,26601.0,30.0
2018-10-01 00:25:17.924000+00:00,26602.0,15.0
2018-10-01 00:25:23.183000+00:00,26601.0,15.0
2018-10-01 00:25:23.884000+00:00,26602.0,15.0
2018-10-01 00:25:29.842000+00:00,26601.0,15.0
2018-10-01 00:25:33.830000+00:00,26600.0,31.0
2018-10-01 00:25:35.234000+00:00,26601.0,20.0
2018-10-01 00:25:35.585000+00:00,26600.0,20.0
2018-10-01 00:26:13.796000+00:00,26601.0,15.0
2018-10-01 00:26:14.848000+00:00,26600.0,15.0
2018-10-01 00:26:18.704000+00:00,26601.0,15.0
2018-10-01 00:26:19.758000+00:00,26600.0,31.0
2018-10-01 00:26:22.561000+00:00,26601.0,30.0
2018-10-01 00:26:26.770000+00:00,26600.0,31.0
2018-10-01 00:26:27.821000+00:00,26601.0,15.0
2018-10-01 00:26:28.873000+00:00,26600.0,15.0
2018-10-01 00:26:30.274000+00:00,26601.0,30.0
2018-10-01 00:26:50.252000+00:00,26602.0,20.0
2018-10-01 00:27:07.424000+00:00,26603.0,15.0
2018-10-01 00:27:25.382000+00:00,26604.0,15.0
2018-10-01 00:27:32.062000+00:00,26602.0,25.0
2018-10-01 00:27:32.412000+00:00,26601.0,15.0
2018-10-01 00:27:40.474000+00:00,26602.0,15.0
2018-10-01 00:27:42.926000+00:00,26601.0,31.0
2018-10-01 00:27:45.728000+00:00,26602.0,15.0
2018-10-01 00:27:50.713000+00:00,26601.0,30.0
2018-10-01 00:27:52.115000+00:00,26600.0,31.0
2018-10-01 00:28:00.640000+00:00,26601.0,15.0
2018-10-01 00:28:02.041000+00:00,26600.0,31.0
2018-10-01 00:28:09.523000+00:00,26599.0,25.0
2018-10-01 00:28:45.640000+00:00,26598.0,31.0
2018-10-01 00:28:54.054000+00:00,26599.0,30.0
2018-10-01 00:29:58.883000+00:00,26598.0,30.0
2018-10-01 00:29:59.235000+00:00,26596.0,30.0
2018-10-01 00:30:00.991000+00:00,26597.0,15.0
2018-10-01 00:30:01.692000+00:00,26596.0,31.0
2018-10-01 00:30:02.043000+00:00,26597.0,15.0
2018-10-01 00:30:03.447000+00:00,26598.0,15.0
2018-10-01 00:30:06.251000+00:00,26597.0,31.0
2018-10-01 00:30:17.469000+00:00,26598.0,15.0
2018-10-01 00:30:17.820000+00:00,26597.0,30.0
2018-10-01 00:30:21.324000+00:00,26598.0,20.0
2018-10-01 00:30:28.332000+00:00,26599.0,15.0
2018-10-01 00:30:31.137000+00:00,26600.0,20.0
2018-10-01 00:30:31.837000+00:00,26599.0,31.0
2018-10-01 00:30:33.240000+00:00,26600.0,15.0
2018-10-01 00:30:37.093000+00:00,26599.0,31.0
2018-10-01 00:30:41.304000+00:00,26600.0,15.0
2018-10-01 00:30:42.005000+00:00,26599.0,15.0
2018-10-01 00:30:48.668000+00:00,26600.0,15.0
2018-10-01 00:30:49.370000+00:00,26599.0,30.0
2018-10-01 00:30:53.926000+00:00,26597.0,31.0
2018-10-01 00:31:01.286000+00:00,26598.0,15.0
2018-10-01 00:31:10.046000+00:00,26600.0,15.0
