,ask,size
2018-10-01 00:02:29.898000+00:00,26598.0,12.0
2018-10-01 00:02:32.703000+00:00,26599.0,12.0
2018-10-01 00:02:34.455000+00:00,26600.0,12.0
2018-10-01 00:02:41.467000+00:00,26599.0,12.0
2018-10-01 00:02:42.520000+00:00,26600.0,12.0
2018-10-01 00:02:46.374000+00:00,26599.0,12.0
2018-10-01 00:02:47.427000+00:00,26600.0,10.0
2018-10-01 00:02:49.880000+00:00,26599.0,5.0
2018-10-01 00:02:50.932000+00:00,26600.0,12.0
2018-10-01 00:02:51.633000+00:00,26601.0,12.0
2018-10-01 00:02:52.685000+00:00,26600.0,12.0
2018-10-01 00:02:56.891000+00:00,26599.0,12.0
2018-10-01 00:02:57.242000+00:00,26600.0,12.0
2018-10-01 00:02:59.345000+00:00,26599.0,12.0
2018-10-01 00:03:01.100000+00:00,26598.0,12.0
2018-10-01 00:03:01.450000+00:00,26599.0,12.0
2018-10-01 00:03:02.855000+00:00,26598.0,12.0
2018-10-01 00:03:07.765000+00:00,26597.0,12.0
2018-10-01 00:03:14.776000+00:00,26594.0,12.0
2018-10-01 00:03:34.414000+00:00,26593.0,12.0
2018-10-01 00:03:42.133000+00:00,26591.0,12.0
2018-10-01 00:03:42.483000+00:00,26592.0,12.0
2018-10-01 00:03:47.741000+00:00,26591.0,12.0
2018-10-01 00:03:48.794000+00:00,26592.0,12.0
2018-10-01 00:03:49.144000+00:00,26591.0,12.0
2018-10-01 00:03:49.495000+00:00,26592.0,12.0
2018-10-01 00:03:50.547000+00:00,26591.0,12.0
2018-10-01 00:03:51.249000+00:00,26592.0,12.0
2018-10-01 00:03:51.600000+00:00,26591.0,12.0
2018-10-01 00:03:51.952000+00:00,26590.0,12.0
2018-10-01 00:03:52.302000+00:00,26591.0,12.0
2018-10-01 00:03:53.354000+00:00,26592.0,12.0
2018-10-01 00:03:55.457000+00:00,26591.0,12.0
2018-10-01 00:03:55.809000+00:00,26592.0,12.0
2018-10-01 00:03:59.665000+00:00,26591.0,12.0
2018-10-01 00:04:00.367000+00:00,26593.0,12.0
2018-10-01 00:04:01.420000+00:00,26594.0,12.0
2018-10-01 00:04:05.629000+00:00,26593.0,12.0
2018-10-01 00:04:06.681000+00:00,26592.0,10.0
2018-10-01 00:04:17.898000+00:00,26591.0,10.0
2018-10-01 00:04:27.715000+00:00,26592.0,10.0
2018-10-01 00:04:29.818000+00:00,26591.0,10.0
2018-10-01 00:04:38.577000+00:00,26590.0,10.0
2018-10-01 00:04:38.930000+00:00,26591.0,10.0
2018-10-01 00:04:45.591000+00:00,26590.0,5.0
2018-10-01 00:04:47.344000+00:00,26591.0,10.0
2018-10-01 00:04:50.500000+00:00,26590.0,10.0
2018-10-01 00:04:58.915000+00:00,26591.0,10.0
